1566610211.12,Created on: ,2019-08-23 21:30:11.156
Timestamp,Barometer,Temperature
2019-08-23 21:30:11.156,12,21
2019-08-23 21:30:14.156,16,23
2019-08-23 21:30:17.156,12,22
2019-08-23 21:30:20.156,11,21
2019-08-23 21:30:23.156,12,24
2019-08-23 21:30:26.156,12,23
2019-08-23 21:30:29.156,13,25
2019-08-23 21:30:32.156,11,21
2019-08-23 21:30:35.156,12,26
2019-08-23 21:30:38.156,12,23
2019-08-23 21:30:41.156,11,24
2019-08-23 21:30:44.156,13,22
2019-08-23 21:30:47.156,13,23
2019-08-23 21:30:50.156,12,26
2019-08-23 21:30:53.156,12,24
2019-08-23 21:30:56.156,12,23
