1566609932.16,Created on: ,2019-08-23 21:25:32.156
Timestamp,Barometer,Temperature
2019-08-23 21:25:32.156,19,27
2019-08-23 21:25:35.156,13,21
2019-08-23 21:25:38.156,14,28
2019-08-23 21:25:41.156,12,29
2019-08-23 21:25:44.156,20,25
2019-08-23 21:25:47.156,12,23
2019-08-23 21:25:50.156,13,30
2019-08-23 21:25:53.156,18,21
2019-08-23 21:25:56.156,11,23
2019-08-23 21:25:59.156,12,23
2019-08-23 21:26:02.156,11,28
2019-08-23 21:26:05.156,16,27
2019-08-23 21:26:08.156,15,27
2019-08-23 21:26:11.156,15,24
2019-08-23 21:26:14.156,15,24
2019-08-23 21:26:17.156,13,26
