1566507382.21,Created on: ,2019-08-22 16:56:22.156
Timestamp,Barometer,Temperature
2019-08-22 16:56:25.156,122,3214
2019-08-22 16:56:28.156,122,3214
2019-08-22 16:56:31.156,122,3214
2019-08-22 16:56:34.156,122,3214
2019-08-22 16:56:37.156,122,3214
2019-08-22 16:56:40.156,122,3214
2019-08-22 16:56:43.156,122,3214
2019-08-22 16:56:46.156,122,3214
2019-08-22 16:56:49.156,122,3214
2019-08-22 16:56:52.156,122,3214
2019-08-22 16:56:55.156,122,3214
2019-08-22 16:56:58.156,122,3214
2019-08-22 16:57:01.156,122,3214
2019-08-22 16:57:04.156,122,3214
2019-08-22 16:57:07.156,122,3214
2019-08-22 16:57:10.156,122,3214
2019-08-22 16:57:13.156,122,3214
2019-08-22 16:57:16.156,122,3214
2019-08-22 16:57:19.156,122,3214
2019-08-22 16:57:22.156,122,3214
2019-08-22 16:57:25.156,122,3214
2019-08-22 16:57:28.156,122,3214
2019-08-22 16:57:31.156,122,3214
2019-08-22 16:57:34.156,122,3214
2019-08-22 16:57:37.156,122,3214
2019-08-22 16:57:40.156,122,3214
2019-08-22 16:57:43.156,122,3214
2019-08-22 16:57:46.156,122,3214
2019-08-22 16:57:49.156,122,3214
2019-08-22 16:57:52.156,122,3214
2019-08-22 16:57:55.156,122,3214
2019-08-22 16:57:58.156,122,3214
2019-08-22 16:58:01.156,122,3214
2019-08-22 16:58:04.156,122,3214
2019-08-22 16:58:07.156,122,3214
2019-08-22 16:58:10.156,122,3214
2019-08-22 16:58:13.156,122,3214
2019-08-22 16:58:16.156,122,3214
2019-08-22 16:58:19.156,122,3214
2019-08-22 16:58:22.156,122,3214
2019-08-22 16:58:25.156,122,3214
2019-08-22 16:58:28.156,122,3214
2019-08-22 16:58:31.156,122,3214
2019-08-22 16:58:34.156,122,3214
2019-08-22 16:58:37.156,122,3214
2019-08-22 16:58:40.156,122,3214
2019-08-22 16:58:43.156,122,3214
2019-08-22 16:58:46.156,122,3214
2019-08-22 16:58:49.156,122,3214
2019-08-22 16:58:52.156,122,3214
2019-08-22 16:58:55.156,122,3214
2019-08-22 16:58:58.156,122,3214
2019-08-22 16:59:01.156,122,3214
2019-08-22 16:59:04.156,122,3214
2019-08-22 16:59:07.156,122,3214
2019-08-22 16:59:10.156,122,3214
2019-08-22 16:59:13.156,122,3214
2019-08-22 16:59:16.156,122,3214
2019-08-22 16:59:19.156,122,3214
2019-08-22 16:59:22.156,122,3214
2019-08-22 16:59:25.156,122,3214
2019-08-22 16:59:28.156,122,3214
2019-08-22 16:59:31.156,122,3214
2019-08-22 16:59:34.156,122,3214
